Source,Target,Weight
DROGO,QOTHO,6
DROGO,RHAEGO,9
GRENN,RAST,23
GRENN,TYRION,6
HOUND,ROBERT,6
HUGH_OF_THE_VALE,NED,6
JAIME,JOFFREY,47
JEOR,OTHELL_YARWYCK,6
JEOR,OTHOR,6
LITTLEFINGER,MOUNTAIN,6
LITTLEFINGER,TYRION,70
LYSA,SER_VARDIS,6
MAESTER_AEMON,PYP,8
MAESTER_AEMON,SAM,61
NED,SYRIO_FOREL,6
NED,TOMARD,6
OTHELL_YARWYCK,SAM,6
PYP,TYRION,6
RAST,SAM,19
SHAGGA,TYWIN,6
ARYA,BAELOR,5
ARYA,BRAN,29
ARYA,HOT_PIE,99
ARYA,LITTLEFINGER,37
ARYA,MERYN_TRANT,16
ARYA,MYCAH,7
BARRISTAN,JOFFREY,7
BENJEN,ROBB,5
BENJEN,YOREN,5
BRAN,RODRIK_CASSEL,5
BRONN,LYSA,5
BRONN,SHAGGA,5
BRONN,TYWIN,12
CATELYN,MORD,5
DAENERYS,ROBERT,11
DOREAH,IRRI,9
DROGO,RAKHARO,5
GARED,ROYCE,5
GENDRY,TOBHO_MOTT,5
HOUND,LITTLEFINGER,5
HOUND,MOUNTAIN,12
JAIME,KEVAN,17
JAIME,LITTLEFINGER,9
JANOS_SLYNT,VARYS,5
JOFFREY,SEPTA_MORDANE,5
JON,OTHELL_YARWYCK,8
JON,OTHOR,5
JON_ARRYN,LITTLEFINGER,9
JON_ARRYN,LYSA,13
JONOS_BRACKEN,ROBB,5
JORAH,QOTHO,5
LYSA,MORD,5
MAESTER_LUWIN,NED,5
MARILLION,RODRIK_CASSEL,5
MARILLION,TYRION,5
MASHA_HEDDLE,TYRION,5
MOUNTAIN,NED,5
RENLY,SANSA,7
ROBB,ROBERT,7
ROBB,TYWIN,22
ROBB,WALDER,35
ROBERT,STANNIS,18
AERYS,RICKARD_STARK,4
ALLISER_THORNE,RAST,4
ARYA,ILYN_PAYNE,6
BAELOR,YOREN,4
BARRISTAN,JAIME,4
BARRISTAN,LITTLEFINGER,4
BARRISTAN,PYCELLE,4
BRAN,CERSEI,4
CATELYN,JON_ARRYN,6
CATELYN,MARILLION,4
CATELYN,TYWIN,6
CERSEI,HOUND,16
DAENERYS,VARYS,88
DAREON,JON,4
DAREON,SAM,6
GARED,WILL,4
GRENN,JEOR,11
HOUND,LORAS,4
HUGH_OF_THE_VALE,LITTLEFINGER,4
ILYN_PAYNE,JOFFREY,6
ILYN_PAYNE,NED,6
ILYN_PAYNE,SANSA,8
ILYN_PAYNE,YOREN,4
JAIME,ROS,4
JAIME,THEON,6
JORY_CASSEL,ROBERT,4
LANCEL,NED,4
LITTLEFINGER,SEPTA_MORDANE,4
LITTLEFINGER,TYWIN,38
LORAS,MOUNTAIN,4
LORAS,NED,4
LORAS,SANSA,37
LYANNA,NED,37
MIRRI_MAZ_DUUR,RAKHARO,4
MOUNTAIN,ROBERT,4
MOUNTAIN,SANSA,4
MYCAH,SANSA,4
NED,RICKARD_STARK,9
OLD_NAN,ROBB,4
ROYCE,WILL,4
RYGER_RIVERS,WALDER,4
SANSA,YOREN,4
SHAE,TYWIN,29
STEVRON_FREY,WALDER,4
WAYMAR_ROYCE,WILL,4
ADDAM_MARBRAND,KEVAN,3
ADDAM_MARBRAND,LEO_LEFFORD,3
AERYS,JAIME,13
