"","Id","Label"
"194","WINTERFELL_SHEPHERD","Shepherd"
"195","XARO","Xaro"
"196","YARA","Yara"
"197","YGRITTE","Ygritte"
"198","ANGUY","Anguy"
"199","BABY","Baby"
"200","BALERION","Balerion"
"201","BERT","Bert"
"202","BLACK_WALDER","Black Walder"
"203","BRYNDEN","Brynden"
"204","DAARIO","Daario"
"205","DESMOND","Desmond"
"206","EDMURE","Edmure"
"207","ELDRICK","Eldrick"
"208","FARMER","Farmer"
"209","FREY_SEPTON","Frey Septon"
"210","GREIZHEN","Greizhen"
"211","GREY_WORM","Grey Worm"
"212","HOBB","Hobb"
"213","JOJEN","Jojen"
"214","KARL_TANNER","Karl"
"215","KRAZNYS_MO_NAKLOZ","Kraznys"
"216","LOCKE","Locke"
"217","LORD_OF_BONES","Lord of Bones"
"218","LOTHAR","Lothar"
"219","MACE","Mace"
"220","MAREI","Marei"
"221","MARTYN","Martyn"
"222","MEERA","Meera"
"223","MERO","Mero"
"224","MERRY","Merry"
"225","MISSANDEI","Missandei"
"226","MYRANDA","Myranda"
"227","OLENNA","Olenna"
"228","OLYVAR","Olyvar"
"229","ORELL","Orell"
"230","PRENDAHL","Prendahl"
"231","QHORIN_HALFHAND","Qhorin"
"232","QYBURN","Qyburn"
"233","RADZAI_MO_ERAZ","Radzai"
"234","RATTLESHIRT","Rattleshirt"
"235","ROSLIN","Roslin"
"236","RYLENE","Rylene"
"237","SELWYN","Selwyn"
"238","SELYSE","Selyse"
"239","SHIREEN","Shireen"
"240","SORCERER","Sorcerer"
"241","STEELSHANKS_WALTON","Steelshanks Walton"
"242","TARYN_MANT","Taryn"
"243","THOROS","Thoros"
"244","TORMUND","Tormund"
"245","TORTURER","Torturer"
"246","VIOLET","Violet"
"247","WILLEM_LANNISTER","Willem"
"248","ADRACK_HUMBLE","Adrack Humble"
"249","ALLISER_THORNE","Alliser Thorne"
"250","ANYA_WAYNWOOD","Anya Waynwood"
"251","AXELL_FLORENT","Axell Florent"
"252","BALON_DWARF","Balon Dwarf"
"253","BLACK_JACK","Black Jack"
"254","BOLTON_GUARD","Bolton Guard"
"255","COOPER","Cooper"
"256","CRASTERS_BABY","Baby"
"257","DOLOROUS_EDD","Dolorous Edd"
"258","DONGO_THE_GIANT","Dongo the Giant"
"259","DONNEL_HILL","Donnel Hill"
"260","DONNEL_WAYNWOOD","Donnel Waynwood"
"261","DORAN","Doran"
"262","DORNISH_LORD","Dornish Lord"
"263","DYING_MAN","Dying Man"
"264","ELDER_MEEREEN_SLAVE","Meereen Statesman"
"265","ELIA","Elia"
"266","ELLARIA","Ellaria"
"267","ENDREW","Endrew"
"268","FALYSE","Falyse"
"269","FARMER_HAMLET","Hamlet Farmer"
"270","FENNESZ","Fennesz"
"271","FIRST_MATE","First Mate"
"272","FOOL","Fool"
"273","GOATHERD","Goatherd"
